############################ MICRO SIMULATION INFORMATION ##################################
No		F11		F12		F21		F22		Energy
169;	1.093298036370;	-0.076275557707;	0.153942868223;	0.986751118958;	16.833630749135
170;	0.941895182406;	-0.040914318781;	-0.179809584699;	1.173806198327;	47.309982586180
171;	0.847324203451;	-0.009118465316;	-0.080541092558;	1.027639937543;	Penetrable-detFmicro
172;	0.987693191303;	-0.029923358098;	-0.169262340052;	0.999440421476;	12.626362562555
173;	1.097954360437;	0.050411289359;	0.192703472475;	0.967010243726;	28.883501253849
174;	1.084054162450;	-0.108772306224;	0.006059297150;	1.159749951350;	76.177647435948
175;	1.161443782152;	-0.065920486534;	-0.032810566432;	0.806126246342;	64.995690582866
176;	1.144231374975;	-0.155291572391;	0.042714006397;	0.910994626935;	28.445073736874
177;	0.927236582565;	0.087232195574;	0.018561562429;	1.190351661826;	43.770494356138
178;	0.821895947315;	-0.087766332206;	-0.097541246226;	0.937354208692;	Penetrable-detFmicro
179;	1.099720549213;	0.071583837414;	-0.075422090453;	1.115086801214;	58.677199012151
180;	1.151379695136;	-0.177247928727;	0.135886542706;	0.972084134993;	37.167346166109
181;	1.003020634749;	0.068504699819;	0.017842375829;	1.029485444674;	3.901985923620
182;	0.891633059951;	0.075285728302;	-0.176228002132;	1.187615583568;	43.955240545633
183;	0.997193140644;	-0.075232198302;	-0.076177632875;	0.974859638011;	8.840227348529
184;	0.943418725586;	0.024279440260;	0.152684027963;	1.122982106877;	26.135309359865
185;	0.931376878218;	0.154336108207;	-0.097042763985;	1.154051164131;	31.067209855900
186;	1.157335031889;	0.160537697745;	0.129831388136;	0.992017759922;	55.876124144244
187;	0.870591236247;	0.197803049609;	0.062387821191;	1.140145909123;	52.250935803182
188;	0.814307460661;	-0.154764495190;	0.189229453518;	1.135232408945;	47.313886071176
189;	1.113271373549;	0.136531223018;	-0.036582442087;	0.831695279971;	44.320299858783
190;	0.947419803340;	0.074147560014;	0.110182536914;	1.051640454906;	14.995129647360
191;	0.908854973979;	-0.068665587976;	0.143217168428;	1.038581889369;	11.823793550535
192;	1.041656579917;	0.118832232089;	0.111095037387;	0.936389470350;	22.847020242395
193;	0.872147058028;	-0.198352542836;	0.089892798854;	1.061909432470;	24.681793677454
194;	0.979179796716;	0.027023519097;	-0.099209985474;	0.860742392330;	Penetrable-detFmicro
195;	1.108395842904;	0.041136545876;	-0.151030331675;	1.076035650471;	48.745624572173
196;	0.830337106185;	0.105555610530;	0.172755420354;	0.983904514171;	Penetrable-detFmicro
197;	0.984659428776;	0.034986592868;	-0.071055924763;	1.130174106102;	24.951163649474
198;	0.919178959978;	-0.010750383327;	-0.156434732184;	0.952823434175;	Penetrable-detFmicro
199;	1.191410903272;	-0.086928848129;	-0.114453289683;	0.840148258595;	63.995069148198
200;	1.040805119881;	0.145252383706;	-0.089883699041;	0.859345217050;	28.706253760302
201;	1.092611784325;	0.197516049822;	-0.013788094581;	0.861133622863;	36.717858897185
202;	0.893395502058;	-0.086400552697;	-0.013128455900;	0.956743228315;	Penetrable-detFmicro
203;	0.909935948806;	-0.166125030101;	-0.158810488998;	1.032707002598;	50.453256145244
204;	1.196068199579;	0.104383079688;	0.181129037926;	1.125738325950;	134.168082389708
205;	1.128325040892;	-0.077952989461;	0.123747241594;	1.191837013025;	124.444149127121
206;	0.872164317925;	0.001708347320;	-0.028253182328;	0.836734991355;	Penetrable-detFmicro
207;	1.068282982829;	-0.014601216643;	0.089930093914;	0.952663059796;	7.830419765764
208;	0.923122841356;	0.122775200886;	0.170936490427;	0.850465206513;	Penetrable-detFmicro
209;	1.145922829822;	-0.007555196860;	-0.061398042789;	0.948512159003;	26.439336686763
210;	1.080979264247;	0.171833270374;	0.126379581833;	1.073815958461;	50.655964157423
211;	0.924235603175;	0.077324113398;	-0.195358896229;	1.018498287951;	10.467278914108
212;	1.116133291758;	-0.175207147508;	-0.021301469941;	1.011171725780;	34.849208896190
213;	1.042214349828;	0.123806166597;	-0.048869392682;	0.839414679664;	43.107266821809
214;	1.177803006729;	0.050348146686;	0.108049247879;	0.916642072688;	42.022006407100
215;	0.909274927731;	0.093983771472;	0.116755754589;	0.835825553334;	Penetrable-detFmicro
216;	0.880731521584;	-0.096438995831;	-0.066011213103;	1.108914567721;	31.446623314136
217;	0.869653026813;	-0.167049444530;	-0.000513386750;	0.978942936378;	Penetrable-detFmicro
218;	1.195803471667;	0.004679927029;	0.051216343065;	1.117454393775;	114.978193643961
219;	0.915727569362;	0.192360236284;	-0.194928834433;	0.916192893483;	24.961779775176
220;	1.196777294492;	0.154602946419;	0.168761112031;	1.182152309515;	175.476744293674
221;	0.926685584809;	-0.013258367686;	-0.024523932754;	1.039733474277;	7.900748906065
222;	0.901692859073;	0.054628804449;	-0.001517933889;	0.994153591105;	21.827191867975
223;	1.134570774522;	0.182257927285;	-0.007917364650;	0.892439347220;	32.631339109648
224;	1.123847893273;	-0.006494549516;	-0.175604639662;	1.089936003696;	65.803749409882
225;	0.855909106504;	-0.082224904818;	-0.137758935525;	1.049217086643;	51.534918422764
226;	1.133390627689;	-0.007837286509;	-0.127991436754;	0.824152070524;	55.060704610612
227;	1.084633816758;	-0.048677240074;	-0.182821856272;	1.003868127268;	27.382305163166
228;	0.836830187234;	0.059420728655;	-0.037214952372;	0.876112084694;	Penetrable-detFmicro
229;	1.188291993467;	0.054430392900;	-0.191840844055;	0.980780959974;	58.192969643459
230;	1.002488110747;	-0.118215558245;	0.187583987218;	0.969972478032;	2.037601872723
231;	0.955354565280;	-0.051286607787;	-0.102461036689;	0.970899118438;	16.570099613071
232;	1.146578122583;	0.188165864499;	0.071565529316;	0.946052152065;	42.462936909654
233;	0.947095740084;	0.030387364822;	0.147583510625;	0.815431779683;	Penetrable-detFmicro
234;	0.804856557279;	-0.145841140400;	0.122424051987;	1.126581056075;	55.135831682945
235;	1.158229512520;	-0.188852507897;	0.027838751987;	1.172477948700;	135.708270503740
